ParticipantID,BlockID,x,z
1,5,0,0.07495117
1,5,0,0.264255
1,5,0,0.5491734
1,5,0,0.8784366
1,5,-0.1168571,1.431096
1,5,-0.5360866,1.986649
1,5,-0.8991652,2.423609
1,5,-0.9175057,2.437327
1,5,-0.9175057,2.437327
1,5,-0.9175057,2.437307
1,5,-0.9175057,2.384935
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.373847
1,5,-0.9175057,2.330715
1,5,-0.9175057,1.882086
1,5,-0.9175057,1.270977
1,5,-0.883153,0.7709794
1,5,-0.7661128,0.3153358
1,5,-0.5833492,0.1899352
1,5,-0.09204006,0.1792121
1,5,0.4635139,0.271234
1,5,1.019067,0.69663
1,5,1.574621,1.248159
1,5,2.130174,1.803712
1,5,2.685728,2.352259
1,5,3.241281,2.583946
1,5,3.796834,2.581171
1,5,4.352388,2.399209
1,5,4.907941,2.059504
1,5,5.168001,1.666051
1,5,5.152071,1.412995
1,5,4.878131,1.237265
1,5,4.366633,1.129131
1,5,3.81108,1.12639
1,5,3.360523,1.134718
1,5,3.295697,1.1718
1,5,3.295697,1.206747
1,5,3.295697,1.268191
1,5,3.295697,1.573824
1,5,3.300855,1.689229
1,5,3.300855,1.689229
1,5,3.300855,1.689229
1,5,3.300855,1.689229
1,5,3.300855,1.689229
1,5,3.300855,1.689229
